Path 0: fill=#1F1E1E, min_x=38.3, max_x=166.0, min_y=150.6, max_y=345.0
Path 1: fill=#1F1E1E, min_x=296.4, max_x=391.1, min_y=202.8, max_y=284.7
Path 2: fill=#F8A604, min_x=336.8, max_x=352.8, min_y=213.2, max_y=264.8
Path 3: fill=#F8A604, min_x=352.2, max_x=370.3, min_y=221.3, max_y=264.7
Path 4: fill=#F8A604, min_x=320.0, max_x=339.1, min_y=225.5, max_y=263.6
Path 5: fill=#1F1E1E, min_x=323.3, max_x=329.6, min_y=245.6, max_y=259.6
Path 6: fill=#F8A604, min_x=363.3, max_x=378.5, min_y=234.4, max_y=260.2
Path 7: fill=#F8A604, min_x=316.3, max_x=326.7, min_y=240.8, max_y=257.4
Path 8: fill=#1F1E1E, min_x=391.9, max_x=452.5, min_y=203.7, max_y=287.1
Path 9: fill=#1F1E1E, min_x=249.9, max_x=299.4, min_y=181.6, max_y=287.2
Path 10: fill=#1F1E1E, min_x=179.2, max_x=200.7, min_y=157.7, max_y=286.3
Path 11: fill=#1F1E1E, min_x=217.8, max_x=239.6, min_y=205.4, max_y=286.2
Path 12: fill=#971416, min_x=93.0, max_x=143.3, min_y=125.3, max_y=161.1
Path 13: fill=#1F1E1E, min_x=215.6, max_x=240.7, min_y=170.3, max_y=194.9
Path 14: fill=#971416, min_x=142.4, max_x=161.9, min_y=176.3, max_y=201.2
Path 15: fill=#971416, min_x=317.4, max_x=330.6, min_y=311.3, max_y=325.5
Path 16: fill=#1F1E1E, min_x=294.8, max_x=302.8, min_y=311.1, max_y=325.5
Path 17: fill=#1F1E1E, min_x=388.1, max_x=395.8, min_y=311.5, max_y=325.3
Path 18: fill=#1F1E1E, min_x=265.7, max_x=272.8, min_y=310.8, max_y=325.5
Path 19: fill=#1F1E1E, min_x=361.8, max_x=369.6, min_y=311.1, max_y=325.7
Path 20: fill=#1F1E1E, min_x=224.9, max_x=231.9, min_y=311.1, max_y=325.5
Path 21: fill=#1F1E1E, min_x=402.6, max_x=410.8, min_y=311.5, max_y=325.2
Path 22: fill=#1F1E1E, min_x=124.7, max_x=133.3, min_y=167.3, max_y=175.5
Path 23: fill=#1F1E1E, min_x=345.9, max_x=354.0, min_y=311.5, max_y=325.8
Path 24: fill=#1F1E1E, min_x=209.4, max_x=218.1, min_y=311.5, max_y=325.5
Path 25: fill=#1F1E1E, min_x=280.8, max_x=287.2, min_y=311.0, max_y=325.3
Path 26: fill=#1F1E1E, min_x=250.9, max_x=258.6, min_y=311.5, max_y=326.2
Path 27: fill=#971416, min_x=425.2, max_x=441.9, min_y=317.4, max_y=320.3
Path 28: fill=#971416, min_x=179.6, max_x=196.1, min_y=317.7, max_y=320.1
Path 29: fill=#1F1E1E, min_x=240.2, max_x=242.6, min_y=311.3, max_y=325.4
Path 30: fill=#1F1E1E, min_x=377.9, max_x=380.2, min_y=310.8, max_y=325.5
Path 31: fill=#1F1E1E, min_x=364.9, max_x=366.1, min_y=313.4, max_y=317.6
Path 32: fill=#1F1E1E, min_x=364.9, max_x=366.0, min_y=320.1, max_y=323.0
